RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
PRIMEURS DU SUD OUEST,750 142 598 00010,SAS,PRIMEALE FRANCE & Didier ARGUEIL & BSF AUDIT & Bertrand TOTEL & Pierre Francois PINCHAURET-LAMOTHE,08/03/2012,0 salarié,Traitement primaire des récoltes,01.63Z,2590,-93.3,412,205.7,-597,-74.7,40.2,184,12.6,522,91.5,1902,2.00,0.02,-0.04,0.11,10.25,3.19,3,3
CIPA SARL,839 502 432 00025,SARL,Aldo BELLONE,23/03/2018,Entre 20 et 49 salariés,Construction et entretien de tunnels,42.13B,880,85.3,45.2,85.3,207,252,126,100,0.1,45.2,96.6,2137,0.53,0.14,0.10,0.04,0.36,1260.00,1,1
T N T,411 143 571 00023,SASU,GROUPE CASTILLON & Sonia POLETTI & COMPAGNIE FIDUCIAIRE AUDIT,02/01/1997,Entre 20 et 49 salariés,Activités de soutien aux autres industries extractives,09.90Z,8430,416,1.6,1352.5,416,1310,605,40,0.1,898,442,2041.5,0.00,0.07,0.05,0.66,0.00,6050.00,1,1
BENOIT GAUTHIER,450 578 638 00014,SASU,L.V.B.G & BOURGUIGNON AUDIT ASSOCIES - B.A.A. & Eric Patrice Joseph André LEVOIR,15/11/2003,Entre 6 et 9 salariés,Activités de soutien aux autres industries extractives,09.90Z,2630,120,718,954.5,973,937,465,300,20.4,0.1,452,2074.4,0.75,0.18,0.05,0.46,1.54,22.79,1,1
SIRCO TRAVAUX SPECIAUX,403 601 222 00058,SASU,MATIERE & ARDOUREL & MATHONIER,22/12/1995,Entre 10 et 19 salariés,Construction d'ouvrages d'art,42.13A,5280,159,605,258,-237,183,263,140.1,9.6,420,237,2634,2.34,0.05,0.03,0.10,2.30,27.40,3,3
LES TOURBIERES DE SUCE,381 802 651 00012,SARL,Dominique Pierre François LE ROY,14/01/1991,Entre 1 et 2 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,463,14.8,97.4,166.2,119,135,46.9,68.6,1.2,16,45.3,303.8,0.59,0.10,0.03,0.55,02.08,39.08,1,1
POUZZOLANES DES DOMES,342 637 550 00019,SASU,CARRIERES DE FRANCE & F.R.A. & FIDUCIAIRE PARIS OUEST,01/10/1987,Entre 6 et 9 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,3090,568,1040,752,575,795,741,145.6,2.2,220,608,2701,1.38,0.24,0.18,0.28,1.40,336.82,1,1
SOTAC,398 442 269 00039,SAS,SANDROC - SOCIETE PAR ACTIONS SIMPLIFIEE & SA AUDIT ET CONSEIL UNION - SOCIETE ANONYME & SA GROUPE CONSEIL UNION - SOCIETE ANONYME,26/09/1994,Entre 3 et 5 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,1180,-37.1,526,8.5,-162,-118,-257,400,1.4,43.8,230,1460,61.88,-0.22,-0.03,0.01,-2.05,-183.57,3,3
SARL ACTIVERT,333 697 241 00029,SARL,Patrick DOS SANTOS,15/07/1985,Entre 6 et 9 salariés,Extraction de tourbe,08.92Z,1520,146,693,408.4,252,617,1520,72,10.5,364,196,908.5,1.70,1.00,0.10,0.45,0.46,144.76,1,1
TOTALENERGIES EP TENGAH,327 643 003 00038,SAS,Francisco Javier RIELO AMEIJIDE & Stéphane PAUTARD & KPMG S.A,01/05/1983,0 salarié,Extraction de gaz naturel,06.20Z,2880,-2280,5240,2436,4410,1070,2710,40,0.1,1690,413,9993,2.15,0.94,-0.79,0.24,1.93,27100.00,3,3
ECM ETUDES CONSTRUCTIONS ET MAINTENANCE,382 909 000 00046,SASU,Alain Jean Robert GRIZAUD & Florent Paul Roger GRIZAUD & Jérôme BERGONZO & HYPHEN Commissariat aux Comptes,21/08/1991,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,4060,21.3,2020,-360,1090,1350,60.2,120,0.3,257,74.8,2547,-5.61,0.01,0.01,-0.14,33.55,200.67,3,3
TERRIL D'AVION,409 749 595 00016,SARL,Christophe MASQUELIER & Patrick DESSAUVAGES,01/09/1996,0 salarié,Extraction de houille,05.10Z,1230,288,557,1351,738,1390,408,82,-1.5,650,295,1960,0.41,0.33,0.23,0.69,1.37,-272.00,1,0
TERCHARNOR,329 769 061 00113,SAS,AD CACHERA & Alain Bernard Jean-Marie CACHERA & GB AUDIT,17/04/1984,Entre 1 et 2 salariés,Extraction de houille,05.10Z,99.5,-45.5,0,673,-19.4,648,-44.2,440,0.1,668,-42.2,779,0.00,-0.44,-0.46,0.86,0.00,-442.00,3,3
ETABLISSEMENTS DUPUY,383 956 547 00012,SAS,ETUDE GESTION FINANCIERE VERNES HOLDING,01/01/1992,Entre 3 et 5 salariés,Extraction de tourbe,08.92Z,588,-8.88,537,59,159,159,15.1,100,11.9,0.294,22.5,903,9.10,0.03,-0.02,0.07,35.56,1.27,3,3
LTP GENIE CIVIL ET GABIONS,417 659 984 00013,EURL,Jean-Pierre DUPUY & EXPERTISE COMPTABLE CONSEILS GESTION DES ENTREPRISES (E.C.C.G.E) & ACTIF AUDIT,08/01/1998,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,5740,322,0.859,46.6,-1240,-297,200,240,0.1,941,370,3427,0.02,0.03,0.06,0.01,0.00,2000.00,2,2
GROUPE SOTTAL TP,380 674 614 00033,SASU,Philippe ALMORIC & Christine BOREL & Serge DURIF & FIDUCIAIRE ILE DE FRANCE MEDITERRANEE AUDIT,02/01/1991,Entre 3 et 5 salariés,Construction d'ouvrages d'art,42.13A,7220,163,80.3,3548,909,1340,65.5,1150,0.1,430,61.6,3892,0.02,0.01,0.02,0.91,1.23,655.00,2,2
STEELMAG INTERNATIONAL,795 229 301 00010,SASU,Chee Mun CHOY & Lionel Gérard FINE & Cabinet MAZARS,16/08/2013,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,6250,-226,0,216,-2220,-1800,154,715,0.024,427,141,4620,0.00,0.02,-0.04,0.05,0.00,6416.67,2,2
R.R.T.P. 48,805 052 966 00019,SAS,Christophe TEYSSIER,06/10/2014,Entre 6 et 9 salariés,Construction d'ouvrages d'art,42.13A,952,80.4,30.7,405,109,373,140,20,2,264,94.9,831,0.08,0.15,0.08,0.49,0.22,70.00,1,1
HIGH TECH CERAM,907 350 656 00035,SAS,Philippe Jany Georges CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE IGEC,01/01/1963,Entre 10 et 19 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,2450,170,200,793,420,865,327,44,2.5,445,283,1579,0.25,0.13,0.07,0.50,0.61,130.80,1,0
LMI LAMBERT MANUFIL INDUSTRIES,797 672 037 00018,SASU,ETABLISSEMENTS PAUL LAMBERT & Jean-Pierre Maurice SAUTEJEAU & GBS Associés & Vincent JOSTE,01/10/2013,Entre 20 et 49 salariés,Tréfilage à froid,24.34Z,7450,-76.6,1210,2849,3380,3640,-380,2850,13,261,43.6,4930,0.42,-0.05,-0.01,0.58,-3.18,-29.23,3,3
MICROCERTEC,775 738 164 00059,SASU,MICROCERTEC HOLDING & François Alfred IRLINGER & Alain Eugene Jean Joseph CHARBONNIER & CEFIGEST & Véronique HEITMANN,01/01/1963,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,4040,462,456,2692,498,2360,903,292,6,1860,770,3684,0.17,0.22,0.11,0.73,0.50,150.50,1,0
EUROJOINT,343 664 173 00063,SARL,Michel Paul René ROBERT & Frédérique Nicole Marie BROCARD & Richard Paul Albert Louis WOLLF,01/01/1988,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,4760,428,9.5,1369,531,1330,442,73,5,796,444,2609,0.01,0.09,0.09,0.52,0.02,88.40,1,0
ESPRIT DU BOIS,527 704 209 00024,SARL,Jean Philippe Noël MICHEL,01/10/2010,Entre 3 et 5 salariés,Fabrication de parquets assemblés,16.22Z,2720,47.7,204,82.3,281,281,58.5,20,9.3,0.029,51.9,1073,2.48,0.02,0.02,0.08,3.49,6.29,3,3
REXO,440 162 360 00026,SARL,Philippe GEERAERT,10/12/2001,Entre 3 et 5 salariés,Fabrication d'outillage portatif à moteur incorporé,28.24Z,426,104,65.3,372,218,313,136,9,0.3,95.2,102,511,0.18,0.32,0.24,0.73,0.48,453.33,1,0
TETHYS SAS,451 456 552 00038,SASU,P.SAUSSOL TRANSMISSION & TETHYS HOLDING & David RUIZ & Christophe BOYER,05/01/2004,Entre 20 et 49 salariés,Fabrication de produits explosifs,20.51Z,3800,781,264,3688,945,2970,1080,850,6.7,2030,1030,5108,0.07,0.28,0.21,0.72,0.24,196.36,1,0
SOCIETE NOUVELLE DE TRAVAUX PUBLICS ET DE GENIE CIVIL - SNGC,300 940 970 00027,SAS,B T V INVESTISSEMENTS &Tony Louis BONIFACI & Fabien CAZENAVE & SAS CDA,01/01/1974,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,4350,836,102,1004,-2260,-1950,161,111,2.5,318,792,5356,0.10,0.04,0.19,0.19,0.63,64.40,1,1
UNION BEURRIERE DU VAL DE MIEGES,778 407 726 00018,Société coopérative agricole,François VUILLEMIN & Laurent Claude Denise CUBY & SOCIETE COOPERATIVE AGRICOLE FROMAGERE FRUITIERE DE LA BAROCHE,01/01/2000,Entre 6 et 9 salariés,Fabrication de beurre,10.51B,2620,126,427,1113,-29.3,756,223,82,4.7,786,224,1982,0.38,0.09,0.05,0.56,1.91,47.45,1,1
MICROPIERRE SA,552 820 557 00031,SASU,Philippe CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE - IGEC,01/01/1955,Entre 10 et 19 salariés,Fabrication d'isolateurs et pièces isolantes en céramique,23.43Z,4260,482,256,2351,915,2110,729,576,4.4,1290,613,3430,0.12,0.17,0.11,0.64,0.35,165.68,1,0
MAIA RAIL,520 352 782 00038,SA,Marc LOURDEAUX & Jean-Philippe MONNERIE & Frédéric Cédric FOUR & ROFFE ET ASSOCIES & Michel BERNARD,02/02/2010,Entre 20 et 49 salariés,Construction de voies ferrées de surface et souterraines,42.12Z,8940,458,1090,3394,496,1380,1040,600,1.3,886,883,7625,0.32,0.12,0.05,0.45,01.05,800.00,1,1
LABORATOIRE D'ETALONS D'ACTIVITE,538 613 613 00040,SASU,"Jean-Luc VINCENT & Simon, Robert & Pascal, François Xavier SEGAL & KPMG S.A",30/11/2011,Entre 20 et 49 salariés,Enrichissement et retraitement de matières nucléaires,20.13A,5950,-750,0,-1000,-1090,5240,111,250,35,0,141,9000,0.00,0.02,-0.13,-0.11,0.00,3.17,3,3
SECIP SOC EXPL CHAUFFAGE INSINERAT,712 820 968 00022,SARL,Thierry LANDAIS & Barthélémy FOUBERT & EXCO ACE (EX ACE) & BL AUDIT,01/01/1971,Entre 20 et 49 salariés,Production et distribution de vapeur et d'air conditionné,35.30Z,5330,376,1740,660,2390,2590,218,38,0.1,202,455,5396,2.64,0.04,0.07,0.12,7.98,2180.00,3,3
AXEO DEVELOPPEMENT,501 233 563 00011,SASU,LPS RÉSEAUX & François-Xavier ANDRAULT & DUO SOLUTIONS AUDIT,06/11/2007,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,5110,1150,1300,1788,748,2050,1710,10,0.1,1300,1200,3160,0.73,0.33,0.23,0.57,0.76,17100.00,1,0
AQUARELIA GESTION,504 813 007 00029,SASU,"Stéphane, Vincent, Joaquim ORIA & Laurence Bernadette CHOPARD & FERRUA RIBES AUDIT & Franck FERRUA",03/06/2008,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,1550,46.8,129,0.7,-33,106,14.9,50,0.5,139,53.6,472,184.29,0.01,0.03,0.00,8.66,29.80,3,3
AP ENTREPRISES ET SERVICES,448 684 928 00014,SASU,Antoine Marie Georges PLUCHET & Véronique Marie Joseph DESOUTTER & BOURBON CHRISTIAN AUDIT & Bernard DESGACHES,20/05/2003,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,348,195,2,953,129,243,58.9,66,0.5,113,195,1088,0.00,0.17,0.56,0.88,0.03,117.80,1,0
SA A DIRECTOIRE GADEA INVESTISSEMENTS,300 940 236 00015,SARL,Christophe GADEA & Nathalie Monique GADEA,01/01/1974,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,476,147,121,546,78.7,88.5,161,300,0.6,9.8,210,717,0.22,0.34,0.31,0.76,0.75,268.33,1,0
EPI ENOLA,434 835 062 00051,SASU,JEAN-MARC LE PRADO,01/03/2001,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,507,11.9,70.1,177,192,232,7.24,129,2.5,39.7,16.7,378,0.40,0.01,0.02,0.47,9.68,2.90,1,1
SOCIETE LITTORALE D ETUDES IMMOBILIERES ET DE LANCEMENT SOLEIL,696 220 466 00036,SARL,Eric André Jean DOLLA,01/01/1972,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,179,92.5,99.5,514,78.7,291,141,174,2.3,212,112,624,0.19,0.79,0.52,0.82,0.71,61.30,1,0
GNV ALPES GRENOBLE,440 033 512 00011,SAS,Thierry JACQUIN & Habib SEHIL & MAZARS & Christine Céline Danièle GOCHARD & Christophe SUSZYLO & Jean-Baptiste FURIA & Françoise Madeleine Anne GARNIER,30/10/2001,0 salarié,Distribution de combustibles gazeux par conduites,35.22Z,1410,157,0,509,323,479,344,153,0.1,156,338,892,0.00,0.24,0.11,0.57,0.00,2.21,1,1
TEJELEC,809 382 021 00016,SARL,Gilles Paul César ELICAGOYEN,17/01/2015,Entre 1 et 2 salariés,Distribution d'électricité,35.13Z,101,36.1,0,40,-0.5,40.5,44,1,0.1,41,36.1,56.8,0.00,0.44,0.36,0.70,0.00,440.00,1,0
COOPERATIVE D ELECTRICITE,956 200 190 00018,SA,Alain GOBAUT & Yves ISSERMANN & Robert DUNY & Annie DROUET & Cécile DUNY & Frédérique Solange Louise DUVAL BROWN ET ASSOCIES,01/01/1956,Entre 10 et 19 salariés,Distribution d'électricité,35.13Z,7820,730,5830,7935,-1030,4800,1580,40,0.1,5830,1190,13717,0.73,0.20,0.09,0.58,3.69,15800.00,1,1
