RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
EUROJOINT,343 664 173 00063,SARL,Michel Paul René ROBERT & Frédérique Nicole Marie BROCARD & Richard Paul Albert Louis WOLLF,01/01/1988,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,6860,186,1.2,1155,15.7,1480,604,73,5,1460,590,3278,0.00,0.09,0.03,0.35,0.00,120.80,2,2
ESPRIT DU BOIS,527 704 209 00024,SARL,Jean Philippe Noël MICHEL,01/10/2010,Entre 3 et 5 salariés,Fabrication de parquets assemblés,16.22Z,5470,64.3,135,146,278,279,82.4,20,7.5,1.16,67.4,1720,0.92,0.02,0.01,0.08,1.64,10.99,2,2
REXO,440 162 360 00026,SARL,Philippe GEERAERT,10/12/2001,Entre 3 et 5 salariés,Fabrication d'outillage portatif à moteur incorporé,28.24Z,421,49.4,206,398,195,273,68.9,9,1,77.7,60.8,717,0.52,0.16,0.12,0.56,2.99,68.90,1,0
TETHYS SAS,451 456 552 00038,SASU,P.SAUSSOL TRANSMISSION & TETHYS HOLDING & David RUIZ & Christophe BOYER,05/01/2004,Entre 20 et 49 salariés,Fabrication de produits explosifs,20.51Z,3540,602,200,4060,1730,3380,1120,850,5.9,1650,871,5556,0.05,0.32,0.17,0.73,0.18,189.83,1,0
SOCIETE NOUVELLE DE TRAVAUX PUBLICS ET DE GENIE CIVIL - SNGC,300 940 970 00027,SAS,B T V INVESTISSEMENTS &Tony Louis BONIFACI & Fabien CAZENAVE & SAS CDA,01/01/1974,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,5790,883,0.023,1887,-1740,-1590,681,111,0.009,145,809,5884,0.00,0.12,0.15,0.32,0.00,75666.67,1,1
UNION BEURRIERE DU VAL DE MIEGES,778 407 726 00018,Société coopérative agricole,François VUILLEMIN & Laurent Claude Denise CUBY & SOCIETE COOPERATIVE AGRICOLE FROMAGERE FRUITIERE DE LA BAROCHE,01/01/2000,Entre 6 et 9 salariés,Fabrication de beurre,10.51B,2490,77.7,569,1180,48.6,860,189,86,6,812,171,2172,0.48,0.08,0.03,0.54,03.01,31.50,1,1
MICROPIERRE SA,552 820 557 00031,SASU,Philippe CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE - IGEC,01/01/1955,Entre 10 et 19 salariés,Fabrication d'isolateurs et pièces isolantes en céramique,23.43Z,4140,474,148,2528,968,2300,711,576,4.3,1330,600,3430,0.19,0.17,0.11,0.74,0.68,165.35,1,0
MAIA RAIL,520 352 782 00038,SA,Marc LOURDEAUX & Jean-Philippe MONNERIE & Frédéric Cédric FOUR & ROFFE ET ASSOCIES & Michel BERNARD,02/02/2010,Entre 20 et 49 salariés,Construction de voies ferrées de surface et souterraines,42.12Z,7895,-842,643,2537,455,700,-236,600,4.5,245,-335,6682,0.25,-0.03,-0.11,0.38,-2.72,-0.01,3,3
LABORATOIRE D'ETALONS D'ACTIVITE,538 613 613 00040,SASU,"Jean-Luc VINCENT & Simon, Robert & Pascal, François Xavier SEGAL & KPMG S.A",30/11/2011,Entre 20 et 49 salariés,Enrichissement et retraitement de matières nucléaires,20.13A,8170,745,0,-700,6270,6510,1560,250,35,244,1540,9000,0.00,0.19,0.09,-0.08,0.00,44.57,3,3
SECIP SOC EXPL CHAUFFAGE INSINERAT,712 820 968 00022,SARL,Thierry LANDAIS & Barthélémy FOUBERT & EXCO ACE (EX ACE) & BL AUDIT,01/01/1971,Entre 20 et 49 salariés,Production et distribution de vapeur et d'air conditionné,35.30Z,6600,462,1440,639,1990,2040,345,38,4,51.2,532,5127,2.25,0.05,0.07,0.12,4.17,86.25,3,3
AXEO DEVELOPPEMENT,501 233 563 00011,SASU,LPS RÉSEAUX & François-Xavier ANDRAULT & DUO SOLUTIONS AUDIT,06/11/2007,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,4750,429,171,1701,1140,1650,719,10,0.1,513,556,2925,0.10,0.15,0.09,0.58,0.24,7190.00,1,0
AQUARELIA GESTION,504 813 007 00029,SASU,"Stéphane, Vincent, Joaquim ORIA & Laurence Bernadette CHOPARD & FERRUA RIBES AUDIT & Franck FERRUA",03/06/2008,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,1590,17.2,147,17,-18.3,143,5.81,50,0.1,161,24.6,505,8.65,0.00,0.01,0.03,25.30,58.10,3,3
AP ENTREPRISES ET SERVICES,448 684 928 00014,SASU,Antoine Marie Georges PLUCHET & Véronique Marie Joseph DESOUTTER & BOURBON CHRISTIAN AUDIT & Bernard DESGACHES,20/05/2003,Entre 10 et 19 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,444,199,29.8,1102,45.6,390,73.8,66,0.7,345,205,1339,0.03,0.17,0.45,0.82,0.40,105.43,1,0
SA A DIRECTOIRE GADEA INVESTISSEMENTS,300 940 236 00015,SARL,Christophe GADEA & Nathalie Monique GADEA,01/01/1974,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,386,-37.5,54.4,509,-15.7,21.5,120,300,0.2,37.2,-23.5,678,0.11,0.31,-0.10,0.75,0.45,600.00,2,2
EPI ENOLA,434 835 062 00051,SASU,JEAN-MARC LE PRADO,01/03/2001,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,463,08.07,60.06,185,220,233,25.7,129,2.8,13.1,12,334,0.32,0.06,0.02,0.55,2.34,9.18,2,2
SOCIETE LITTORALE D ETUDES IMMOBILIERES ET DE LANCEMENT SOLEIL,696 220 466 00036,SARL,Eric André Jean DOLLA,01/01/1972,Entre 1 et 2 salariés,Supports juridiques de gestion de patrimoine immobilier,68.32B,179,97.1,92.2,541,56.6,330,147,174,2,274,116,648,0.17,0.82,0.54,0.83,0.63,73.50,1,0
GNV ALPES GRENOBLE,440 033 512 00011,SAS,Thierry JACQUIN & Habib SEHIL & MAZARS & Christine Céline Danièle GOCHARD & Christophe SUSZYLO & Jean-Baptiste FURIA & Françoise Madeleine Anne GARNIER,30/10/2001,0 salarié,Distribution de combustibles gazeux par conduites,35.22Z,1450,-200,0,159,-1950,-1640,185,152,0.1,307,-26.5,3064,0.00,0.13,-0.14,0.05,0.00,0.60,3,3
TEJELEC,809 382 021 00016,SARL,Gilles Paul César ELICAGOYEN,17/01/2015,Entre 1 et 2 salariés,Distribution d'électricité,35.13Z,81.9,18.1,0,38,10.1,38.6,21.4,1,0.1,28.5,18.1,46.5,0.00,0.26,0.22,0.82,0.00,214.00,1,0
COOPERATIVE D ELECTRICITE,956 200 190 00018,SA,Alain GOBAUT & Yves ISSERMANN & Robert DUNY & Annie DROUET & Cécile DUNY & Frédérique Solange Louise DUVAL BROWN ET ASSOCIES,01/01/1956,Entre 10 et 19 salariés,Distribution d'électricité,35.13Z,7960,814,7.67,8624,-1570,5120,1490,30,0.1,6690,1230,14790,0.00,0.19,0.10,0.58,0.01,14900.00,1,1
