RaisonSociale,Siret,FormeJuridique,Dirigeant,DateCreation,Effectif,Activite,CodeNAF,ChiffreAffaire,ResultatNet,DetteNette,FondsPropres,BFR,FR,EBE,CapitalSocial,CoûtDette,Tresorerie,CAF,BilanTotal,RatioGearing,RentabiliteExploitation,RentabiliteGlobale,RatioEquity,RatioLevier,ICR,Note3C,Note4C
AGON,312 139 413 00032,SARL,Bruno Pierre Marie BLOHORN,01/01/1978,Entre 1 et 2 salariés,Culture du riz,01.12Z,515,113,1390,830,288,302,210,427.5,6.3,14.9,207,2337,1.67,0.41,0.22,0.36,6.62,33.33,2,2
FERMES FRANCAISES,061 800 231 00054,SAS,David CALVIERE,01/07/1985,Entre 3 et 5 salariés,Culture du riz,01.12Z,1440,144,4840,5807,810,811,552,5417,0.1,1.4,504,11156,0.83,0.38,0.10,0.52,8.77,5520.00,1,0
BOSCHET,404 382 210 00023,EURL,Romain Vincent & Hyacinthe BOSCHET,01/02/1996,Entre 6 et 9 salariés,Traitement primaire des récoltes,01.63Z,1690,0.7,2190,65,46.7,89.1,358,7.6,48,42.5,438,2459,33.69,0.21,0.00,0.03,6.12,7.46,3,3
EUROSOL FONDATIONS,390 164 358 00025,SAS,Michel DESMOULINS & Eric TOFFART & Patrick ROUX,25/01/1993,Entre 20 et 49 salariés,Construction et entretien de tunnels,42.13B,8200,57.3,600,1514,1710,1870,160,500,29.9,168,137,4864,0.40,0.02,0.01,0.31,3.75,5.35,2,2
SEMARA,749 939 351 00021,SAS,SAS BENOIST SEM & PRICEWATERHOUSECOOPERS & Jocelyne ANQUETIL & Jean-Pascal LAIGLE & Guy TABEL Laurent & François GUERREIRO,30/01/2012,Entre 20 et 49 salariés,Traitement des semences,01.64Z,4000,0.5,3000,2373,-3220,-3220,849,5000,152,0,694,9832,1.26,0.21,0.00,0.24,3.53,5.59,2,2
EPTASEM,791 866 098 00019,SASU,Emmanuel Jean-Claude PECHOT,18/03/2013,Entre 1 et 2 salariés,Traitement des semences,01.64Z,575,115,339,376,19.2,312,231,10,5.7,293,192,761.3,0.90,0.40,0.20,0.49,1.47,40.53,1,1
PARC DE CHASSE DE FONTCOUVERTE,752 217 497 00011,EURL,Julien Simon & Marie BONNEFILLE,12/04/2012,Entre 1 et 2 salariés,"Chasse, piégeage et services annexes",01.70Z,170,-1.78,35.4,24.6,-85.6,-78.2,17.7,1,0.547,7.4,21.3,146.4,1.44,0.10,-0.01,0.17,2.00,32.36,2,2
HUGOU DUMAS,343 058 905 00013,SASU,Gilbert Lucien & Marcel HUGOU & Caroline Jeanine HUGOU & AIX AUDIT COMMISSARIAT & Philippe BICAIS,01/11/1987,Entre 3 et 5 salariés,Récolte de produits forestiers non ligneux poussant à l'état sauvage,02.30Z,3700,133,91.1,1572,926,1380,235,2800,1.9,457,187,1938,0.06,0.06,0.04,0.81,0.39,123.68,1,1
SETANO,800 937 294 00018,SASU,Charles Marcel GIUDICELLI,01/04/2014,Entre 3 et 5 salariés,Culture d'agrumes,01.23Z,654,225,11.8,747,497,548,327,134,0.1,51.4,258,888,0.02,0.50,0.34,0.84,0.04,3270.00,1,0
GFA LE PETIT FLAMANT,415 181 510 00017,Groupement foncier agricole,Gabrièle Angelo Luigi Maria COLOMBARA & Angelo Giovanni Francesco COLOMBARA,01/02/1998,0 salarié,Culture du riz,01.12Z,213,88.4,1040,971,348,1180,95.9,3.1,0.1,832,97.7,2147,01.07,0.45,0.42,0.45,10.84,959.00,1,0
PRIMEURS DU SUD OUEST,750 142 598 00010,SAS,PRIMEALE FRANCE & Didier ARGUEIL & BSF AUDIT & Bertrand TOTEL & Pierre Francois PINCHAURET-LAMOTHE,08/03/2012,0 salarié,Traitement primaire des récoltes,01.63Z,2650,93.3,284,399.8,25.6,27.3,196,184,20.5,1.71,292,2396,0.71,0.07,0.04,0.17,1.45,9.56,2,2
CIPA SARL,839 502 432 00025,SARL,Aldo BELLONE,23/03/2018,Entre 20 et 49 salariés,Construction et entretien de tunnels,42.13B,8680,134,430,134,-233,207,270,100,0.1,440,218,3891,3.21,0.03,0.02,0.03,1.59,2700.00,3,3
T N T,411 143 571 00023,SASU,GROUPE CASTILLON & Sonia POLETTI & COMPAGNIE FIDUCIAIRE AUDIT,02/01/1997,Entre 20 et 49 salariés,Activités de soutien aux autres industries extractives,09.90Z,6100,301,1.42,1653.1,591,1590,435,40,0.1,998,318,2677.5,0.00,0.07,0.05,0.62,0.00,4350.00,1,0
BENOIT GAUTHIER,450 578 638 00014,SASU,L.V.B.G & BOURGUIGNON AUDIT ASSOCIES - B.A.A. & Eric Patrice Joseph André LEVOIR,15/11/2003,Entre 6 et 9 salariés,Activités de soutien aux autres industries extractives,09.90Z,3010,90.6,814,961.4,1020,1020,424,300,15.7,0.1,357,2321.2,0.85,0.14,0.03,0.41,1.92,27.01,1,1
SIRCO TRAVAUX SPECIAUX,403 601 222 00058,SASU,MATIERE & ARDOUREL & MATHONIER,22/12/1995,Entre 10 et 19 salariés,Construction d'ouvrages d'art,42.13A,4440,220,512,477.8,-103,284,352,140.1,7.7,387,359,2429.3,01.07,0.08,0.05,0.20,1.45,45.71,2,2
LES TOURBIERES DE SUCE,381 802 651 00012,SARL,Dominique Pierre François LE ROY,14/01/1991,Entre 1 et 2 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,551,23,119,182.4,87.3,157,64.2,38.2,1.5,70,58.1,355.9,0.65,0.12,0.04,0.51,1.85,42.80,1,1
POUZZOLANES DES DOMES,342 637 550 00019,SASU,CARRIERES DE FRANCE & F.R.A. & FIDUCIAIRE PARIS OUEST,01/10/1987,Entre 6 et 9 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,2970,415,1020,597.3,442,674,652,145.6,29.8,232,486,2756.4,1.71,0.22,0.14,0.22,1.56,21.88,2,2
SOTAC,398 442 269 00039,SAS,SANDROC - SOCIETE PAR ACTIONS SIMPLIFIEE & SA AUDIT ET CONSEIL UNION - SOCIETE ANONYME & SA GROUPE CONSEIL UNION - SOCIETE ANONYME,26/09/1994,Entre 3 et 5 salariés,Extraction des minéraux chimiques et d'engrais minéraux,08.91Z,796,37.5,317,46,-90.2,-87.5,315,400,1.4,2.94,-18.2,945,6.89,0.40,0.05,0.05,01.01,0.01,3,3
SARL ACTIVERT,333 697 241 00029,SARL,Patrick DOS SANTOS,15/07/1985,Entre 6 et 9 salariés,Extraction de tourbe,08.92Z,1520,72.2,1420,185.8,334,647,1520,72,12.8,312,131,1970.2,7.64,1.00,0.05,0.09,0.93,118.75,3,3
TOTALENERGIES EP TENGAH,327 643 003 00038,SAS,Francisco Javier RIELO AMEIJIDE & Stéphane PAUTARD & KPMG S.A,01/05/1983,0 salarié,Extraction de gaz naturel,06.20Z,-332,104,1645,5631,-459,5630,-373,40,0.1,6090,162,7276,0.29,1.12,-0.31,0.77,-4.41,-3730.00,3,3
ECM ETUDES CONSTRUCTIONS ET MAINTENANCE,382 909 000 00046,SASU,Alain Jean Robert GRIZAUD & Florent Paul Roger GRIZAUD & Jérôme BERGONZO & HYPHEN Commissariat aux Comptes,21/08/1991,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,4090,18.1,1660,-342,757,1030,92.5,120,0.3,274,81.8,2418,-4.85,0.02,0.00,-0.14,17.95,308.33,3,3
TERRIL D'AVION,409 749 595 00016,SARL,Christophe MASQUELIER & Patrick DESSAUVAGES,01/09/1996,0 salarié,Extraction de houille,05.10Z,944,91.3,596,1442,853,1430,134,82,-1.9,582,98.1,2038,0.41,0.14,0.10,0.71,4.45,-70.53,1,1
TERCHARNOR,329 769 061 00113,SAS,AD CACHERA & Alain Bernard Jean-Marie CACHERA & GB AUDIT,17/04/1984,Entre 1 et 2 salariés,Extraction de houille,05.10Z,80.5,-125,0,548,-63.6,395,-73.5,440,0.1,458,-102,709,0.00,-0.91,-1.55,0.77,0.00,-735.00,3,3
ETABLISSEMENTS DUPUY,383 956 547 00012,SAS,ETUDE GESTION FINANCIERE VERNES HOLDING,01/01/1992,Entre 3 et 5 salariés,Extraction de tourbe,08.92Z,638,0.284,444,59,88.1,90.5,-32.2,100,17.4,2.36,23.9,815,7.53,-0.05,0.00,0.07,-13.79,-1.85,3,3
LTP GENIE CIVIL ET GABIONS,417 659 984 00013,EURL,Jean-Pierre DUPUY & EXPERTISE COMPTABLE CONSEILS GESTION DES ENTREPRISES (E.C.C.G.E) & ACTIF AUDIT,08/01/1998,Entre 20 et 49 salariés,Construction d'ouvrages d'art,42.13A,6090,263,4.5,301,-839,-123,352,240,0.1,716,373,3628,0.01,0.06,0.04,0.08,0.01,3520.00,2,2
GROUPE SOTTAL TP,380 674 614 00033,SASU,Philippe ALMORIC & Christine BOREL & Serge DURIF & FIDUCIAIRE ILE DE FRANCE MEDITERRANEE AUDIT,02/01/1991,Entre 3 et 5 salariés,Construction d'ouvrages d'art,42.13A,1270,267,138,3561,1120,1270,168,1150,0.929,151,388,4146,0.04,0.13,0.21,0.86,0.82,180.84,1,0
STEELMAG INTERNATIONAL,795 229 301 00010,SASU,Chee Mun CHOY & Lionel Gérard FINE & Cabinet MAZARS,16/08/2013,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,6890,48.9,2260,265,-94.5,523,536,715,2,618,466,5254,8.53,0.08,0.01,0.05,4.22,268.00,3,3
R.R.T.P. 48,805 052 966 00019,SAS,Christophe TEYSSIER,06/10/2014,Entre 6 et 9 salariés,Construction d'ouvrages d'art,42.13A,1120,72,26.8,477,8.43,460,138,20,0.31,452,98.3,960,0.06,0.12,0.06,0.50,0.19,445.16,1,1
HIGH TECH CERAM,907 350 656 00035,SAS,Philippe Jany Georges CHANEY & GRANT THORNTON & INSTITUT DE GESTION ET D'EXPERTISE COMPTABLE IGEC,01/01/1963,Entre 10 et 19 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,2300,228,266,948,285,920,403,44,2.5,634,339,1735,0.28,0.18,0.10,0.55,0.66,161.20,1,1
LMI LAMBERT MANUFIL INDUSTRIES,797 672 037 00018,SASU,ETABLISSEMENTS PAUL LAMBERT & Jean-Pierre Maurice SAUTEJEAU & GBS Associés & Vincent JOSTE,01/10/2013,Entre 20 et 49 salariés,Tréfilage à froid,24.34Z,6320,-35.4,1080,2814,3340,3560,59.5,2850,11,224,71.7,4859,0.38,0.01,-0.01,0.58,18.15,5.41,2,2
MICROCERTEC,775 738 164 00059,SASU,MICROCERTEC HOLDING & François Alfred IRLINGER & Alain Eugene Jean Joseph CHARBONNIER & CEFIGEST & Véronique HEITMANN,01/01/1963,Entre 20 et 49 salariés,Fabrication d'autres produits céramiques à usage technique,23.44Z,4320,446,351,2990,767,2310,800,292,5.5,1550,731,2989,0.12,0.19,0.10,1.00,0.44,145.45,1,0
